high,low,volume,close,open,time
314.299,309.69,19414202.0,312.79,312.3,1695787200
315.48,309.45,19705208.0,313.64,310.99,1695873600
319.47,314.98,24147300.0,315.75,317.75,1695960000
321.888,315.18,20576408.0,321.8,316.28,1696219200
321.39,311.215,21036379.0,313.39,320.83,1696305600
320.04,314.0,20724959.0,318.955,314.03,1696392000
319.98,314.9,16967927.0,319.36,319.09,1696478400
329.19,316.3,25673632.0,327.26,316.55,1696564800
330.3,323.18,19895466.0,329.82,324.75,1696824000
331.1,327.67,20559279.0,328.39,330.96,1696910400
332.82,329.14,20066879.0,332.42,331.21,1696996800
333.6299,328.72,19316464.0,331.16,330.565,1697083200
333.83,326.36,21085697.0,327.73,332.38,1697169600
336.14,330.6,22159802.0,332.64,331.05,1697428800
333.46,327.41,18341661.0,332.06,329.59,1697515200
335.59,328.3,23161658.0,330.11,332.49,1697601600
336.88,330.91,25056937.0,331.32,332.15,1697688000
331.92,325.45,25027715.0,326.67,331.72,1697774400
332.725,324.39,24376489.0,329.32,325.47,1698033600
331.84,327.6,31604295.0,330.53,331.3,1698120000
346.2,337.62,55084330.0,340.67,345.02,1698206400
341.63,326.94,37856804.0,327.89,340.54,1698292800
336.72,328.4007,29856524.0,329.81,330.425,1698379200
339.45,331.83,22829528.0,337.31,333.41,1698638400
339.0,334.69,20266157.0,338.11,338.85,1698724800
347.42,339.65,28162158.0,346.07,339.79,1698811200
348.83,344.77,24359896.0,348.32,347.24,1698897600
354.39,347.33,23637675.0,352.8,349.63,1698984000
357.54,353.35,23832657.0,356.53,353.45,1699246800
362.46,357.63,25840227.0,360.53,359.4,1699333200
363.87,360.55,26773191.0,363.2,361.68,1699419600
364.79,360.362,24859227.0,360.69,362.3,1699506000
370.1,361.07,28065165.0,369.67,361.49,1699592400
368.47,365.9,19992293.0,366.68,368.22,1699851600
371.95,367.3454,27691788.0,370.27,371.01,1699938000
373.13,367.11,26871924.0,369.67,371.28,1700024400
376.35,370.18,27185636.0,376.17,370.96,1700110800
374.37,367.0,40325372.0,369.85,373.61,1700197200
378.87,371.0,52540574.0,377.44,371.22,1700456400
376.2215,371.12,28443429.0,373.07,375.67,1700542800
379.7899,374.965,23362349.0,377.85,378.0,1700629200
377.97,375.135,10176651.0,377.43,377.33,1700802000
380.64,376.2,22182355.0,378.61,376.78,1701061200
383.0,378.16,20457971.0,382.7,378.35,1701147600
384.3,377.44,28967214.0,378.85,383.76,1701234000
380.09,375.47,31179048.0,378.91,378.49,1701320400
378.16,371.31,33040472.0,374.51,376.76,1701406800
369.52,362.9,32068877.0,369.14,369.1,1701666000
373.075,365.621,23070400.0,372.52,366.45,1701752400
374.18,368.03,21184316.0,368.8,373.54,1701838800
371.4527,366.32,23121215.0,370.95,368.23,1701925200
374.46,368.23,20147929.0,374.23,369.2,1702011600
371.6,366.1,27713533.0,371.3,368.48,1702270800
374.42,370.46,24853135.0,374.38,370.85,1702357200
377.6361,370.77,30955589.0,374.37,376.02,1702443600
